"rubro2_ID","rubro2","rubro3_ID","rubro3","test_type_ID","test_type","beta_robust","p_value","num_observ","description"
"9","Medications For The Autonomous Nervous System","8","Adrenergic Blocking Agents","3","Incumbency Status","0.07185766","0.00041488602","15717","The null hypothesis of competition is rejected."
"9","Medications For The Autonomous Nervous System","9","Cholinergic Blocking Agents","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","9","Cholinergic Blocking Agents","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","9","Cholinergic Blocking Agents","2","180-Day Standardized Backlog","-0.15868235","0.07805548","6924","The null hypothesis of competition is rejected."
"9","Medications For The Autonomous Nervous System","10","Neuromuscular Blocking Agents","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","10","Neuromuscular Blocking Agents","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","10","Neuromuscular Blocking Agents","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","58","Chlorinergic And Cholinesterase Inhibitors","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","58","Chlorinergic And Cholinesterase Inhibitors","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","58","Chlorinergic And Cholinesterase Inhibitors","3","Incumbency Status","0.11464722","0.041852567","2235","The null hypothesis of competition is rejected."
"9","Medications For The Autonomous Nervous System","100","Muscule-Skeletal Relaxants With Centered Action","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","100","Muscule-Skeletal Relaxants With Centered Action","3","Incumbency Status","0.13101172","0.0001155621","6808","The null hypothesis of competition is rejected."
"9","Medications For The Autonomous Nervous System","100","Muscule-Skeletal Relaxants With Centered Action","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"9","Medications For The Autonomous Nervous System","103","Sympathomimetic Or Adrenergic","2","180-Day Standardized Backlog","-0.1093559","0.023598397","18428","The null hypothesis of competition is rejected."
"9","Medications For The Autonomous Nervous System","103","Sympathomimetic Or Adrenergic","1","90-Day Standardized Backlog","-0.095132105","0.050749753","18428","The null hypothesis of competition is rejected."
"9","Medications For The Autonomous Nervous System","103","Sympathomimetic Or Adrenergic","3","Incumbency Status","0.07365709","0.00013998718","18854","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","6","Antipsychotic Agents","3","Incumbency Status","0.024553835","0.0151859475","51843","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","6","Antipsychotic Agents","1","90-Day Standardized Backlog","-0.11450562","4.92E-5","50472","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","6","Antipsychotic Agents","2","180-Day Standardized Backlog","-0.1551502","1.53E-7","50472","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","19","Narcotic Analgesics","2","180-Day Standardized Backlog","-0.06912465","0.08269086","22971","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","19","Narcotic Analgesics","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","19","Narcotic Analgesics","1","90-Day Standardized Backlog","-0.093516916","0.026477082","22971","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","20","Non-Narcotic Analgesics / Antipyretics","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","20","Non-Narcotic Analgesics / Antipyretics","3","Incumbency Status","0.038181793","0.004197968","35256","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","20","Non-Narcotic Analgesics / Antipyretics","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","27","Anticonvulsives","3","Incumbency Status","0.031521954","0.003792551","48202","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","27","Anticonvulsives","2","180-Day Standardized Backlog","-0.055792052","0.043971054","47396","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","27","Anticonvulsives","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","28","Antidepressants","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","28","Antidepressants","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","28","Antidepressants","3","Incumbency Status","0.037816215","0.0038567323","56101","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","63","Stimulants / Anorexic","3","Incumbency Status","0.19279319","6.92E-8","3750","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","63","Stimulants / Anorexic","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","63","Stimulants / Anorexic","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","65","Anesthesic Drugs, Related Supplements And Analeptics","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","65","Anesthesic Drugs, Related Supplements And Analeptics","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","65","Anesthesic Drugs, Related Supplements And Analeptics","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","66","Non-Steroid Anti-Inflammatory Drugs (Nsaids)","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","66","Non-Steroid Anti-Inflammatory Drugs (Nsaids)","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","66","Non-Steroid Anti-Inflammatory Drugs (Nsaids)","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","67","Veterinary Non-Steroid Anti-Inflammatory Drugs (Vnsaids)","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"10","Medications For The Central Nervous System","67","Veterinary Non-Steroid Anti-Inflammatory Drugs (Vnsaids)","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"10","Medications For The Central Nervous System","67","Veterinary Non-Steroid Anti-Inflammatory Drugs (Vnsaids)","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"10","Medications For The Central Nervous System","74","Hypnotics","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","74","Hypnotics","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","74","Hypnotics","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","87","Medications Against Parkinson","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","87","Medications Against Parkinson","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","87","Medications Against Parkinson","3","Incumbency Status","0.07550256","0.009995733","5515","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","90","Medications For Vascular Headaches And Migraine","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","90","Medications For Vascular Headaches And Migraine","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","90","Medications For Vascular Headaches And Migraine","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","106","Tranquilizers And Ansiolytic And Antimanic Drugs","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"10","Medications For The Central Nervous System","106","Tranquilizers And Ansiolytic And Antimanic Drugs","3","Incumbency Status","0.05255191","0.01236699","15491","The null hypothesis of competition is rejected."
"10","Medications For The Central Nervous System","106","Tranquilizers And Ansiolytic And Antimanic Drugs","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","23","Antasmatics","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","23","Antasmatics","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","23","Antasmatics","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","33","Antihistamines Or H15 Blockers","2","180-Day Standardized Backlog","-0.28806427","0.010834098","3268","The null hypothesis of competition is rejected."
"11","Medications For The Respiratory Tract","33","Antihistamines Or H15 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","33","Antihistamines Or H15 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","34","Antihistamines Or H16 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","34","Antihistamines Or H16 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","34","Antihistamines Or H16 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","35","Antihistamines Or H20 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","35","Antihistamines Or H20 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","35","Antihistamines Or H20 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","36","Antihistamines Or H21 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","36","Antihistamines Or H21 Blockers","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","36","Antihistamines Or H21 Blockers","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","37","Antihistamines Or H23 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","37","Antihistamines Or H23 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","37","Antihistamines Or H23 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","38","Antihistamines Or H24 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","38","Antihistamines Or H24 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","38","Antihistamines Or H24 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","39","Antihistamines Or H25 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","39","Antihistamines Or H25 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","39","Antihistamines Or H25 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","40","Antihistamines Or H26 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","40","Antihistamines Or H26 Blockers","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","40","Antihistamines Or H26 Blockers","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","41","Antihistamines Or H29 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","41","Antihistamines Or H29 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","41","Antihistamines Or H29 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","42","Antihistamines Or H3 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","42","Antihistamines Or H3 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","42","Antihistamines Or H3 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","43","Antihistamines Or H30 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","43","Antihistamines Or H30 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","43","Antihistamines Or H30 Blockers","3","Incumbency Status","0.04166924","0.02599477","21055","The null hypothesis of competition is rejected."
"11","Medications For The Respiratory Tract","44","Antihistamines Or H32 Blockers","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","44","Antihistamines Or H32 Blockers","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","44","Antihistamines Or H32 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","45","Antihistamines Or H33 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","45","Antihistamines Or H33 Blockers","2","180-Day Standardized Backlog","-0.19020402","0.0405253","3943","The null hypothesis of competition is rejected."
"11","Medications For The Respiratory Tract","45","Antihistamines Or H33 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","46","Antihistamines Or H37 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","46","Antihistamines Or H37 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","46","Antihistamines Or H37 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","47","Antihistamines Or H38 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","47","Antihistamines Or H38 Blockers","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","47","Antihistamines Or H38 Blockers","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","48","Antihistamines Or H39 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","48","Antihistamines Or H39 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","48","Antihistamines Or H39 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","49","Antihistamines Or H4 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","49","Antihistamines Or H4 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","49","Antihistamines Or H4 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","50","Antihistamines Or H45 Blockers","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","50","Antihistamines Or H45 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","50","Antihistamines Or H45 Blockers","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","51","Antihistamines Or H5 Blockers","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","51","Antihistamines Or H5 Blockers","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","51","Antihistamines Or H5 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","52","Antihistamines Or H6 Blockers","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","52","Antihistamines Or H6 Blockers","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","52","Antihistamines Or H6 Blockers","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","53","Antihistamines Or H8 Blockers","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","53","Antihistamines Or H8 Blockers","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","53","Antihistamines Or H8 Blockers","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","60","Nasal Decongestionants","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","60","Nasal Decongestionants","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","60","Nasal Decongestionants","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"11","Medications For The Respiratory Tract","89","Medications For Respiratory Tract Disorders","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","89","Medications For Respiratory Tract Disorders","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","89","Medications For Respiratory Tract Disorders","3","Incumbency Status","0.0673058","0.004613283","9439","The null hypothesis of competition is rejected."
"11","Medications For The Respiratory Tract","98","Products For Cough, Cold And Anti-Allergic","3","Incumbency Status","0.034754846","0.0072542587","36846","The null hypothesis of competition is rejected."
"11","Medications For The Respiratory Tract","98","Products For Cough, Cold And Anti-Allergic","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"11","Medications For The Respiratory Tract","98","Products For Cough, Cold And Anti-Allergic","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","13","Dermatological Agents","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","13","Dermatological Agents","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","13","Dermatological Agents","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","17","Ophthalmic Agents","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","17","Ophthalmic Agents","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","17","Ophthalmic Agents","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","57","Astringents","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","57","Astringents","2","180-Day Standardized Backlog","-1.4050587","0.0066183386","346","The null hypothesis of competition is rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","57","Astringents","1","90-Day Standardized Backlog","-0.85413295","0.014999092","346","The null hypothesis of competition is rejected."
"12","Medications For The Ears, Eyes, Nose And Skin","96","Aural Preparations","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"12","Medications For The Ears, Eyes, Nose And Skin","96","Aural Preparations","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"12","Medications For The Ears, Eyes, Nose And Skin","96","Aural Preparations","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
"13","Miscellaneous Medications","30","Antidotes And Emetics","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","30","Antidotes And Emetics","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","30","Antidotes And Emetics","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","70","Drugs Against Addictions","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","70","Drugs Against Addictions","3","Incumbency Status","0.059239626","0.039236624","2724","The null hypothesis of competition is rejected."
"13","Miscellaneous Medications","70","Drugs Against Addictions","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","71","Herbal Drugs","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"13","Miscellaneous Medications","71","Herbal Drugs","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"13","Miscellaneous Medications","71","Herbal Drugs","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","72","Drugs To Treat Sexual Dysfunction","2","180-Day Standardized Backlog","-0.44414946","0.011753119","1069","The null hypothesis of competition is rejected."
"13","Miscellaneous Medications","72","Drugs To Treat Sexual Dysfunction","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","72","Drugs To Treat Sexual Dysfunction","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","84","Anti-Gout Medications","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","84","Anti-Gout Medications","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","84","Anti-Gout Medications","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"13","Miscellaneous Medications","99","Radiopharmacous And Diagnostic Agents","1","90-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"13","Miscellaneous Medications","99","Radiopharmacous And Diagnostic Agents","2","180-Day Standardized Backlog","","","","Not enough variability to compute the preliminary bandwidth."
"13","Miscellaneous Medications","99","Radiopharmacous And Diagnostic Agents","3","Incumbency Status","","","","Not enough variability to compute the preliminary bandwidth."
